employee_id,age,gender,education,department,job_role,monthly_salary,years_at_company,years_in_current_role,performance_score,job_satisfaction,work_life_balance,overtime,distance_from_home_km,num_projects_last_year,training_hours_last_year,num_promotions,last_promotion_years_ago,stock_option_level,relationship_satisfaction,environment_satisfaction,attrition
EMP00001,42,Female,Master,Finance,Role_22,107433,2,0,3.4,3.2,3,Yes,11,3,21,0,1,0,1,4,No
EMP00002,35,Male,Master,HR,Role_8,77660,4,0,3.4,3.4,2,Yes,30,4,29,1,2,0,3,3,No
EMP00003,40,Male,PhD,Legal,Role_1,114377,3,0,4.1,3.6,3,No,10,2,72,0,3,2,4,4,Yes
EMP00004,35,Male,High School,R&D,Role_15,79284,2,1,2.9,3.0,3,No,9,6,24,0,0,0,3,3,No
EMP00005,47,Male,Bachelor,Finance,Role_11,95933,1,1,3.3,3.3,3,No,10,2,52,0,0,3,2,3,No
EMP00006,29,Male,Bachelor,Operations,Role_49,59214,0,0,3.0,3.6,3,No,13,5,36,0,0,1,3,3,No
EMP00007,57,Female,Bachelor,R&D,Role_36,117285,1,0,2.4,2.3,3,No,8,3,67,0,1,0,3,3,Yes
EMP00008,30,Female,PhD,Operations,Role_49,94650,1,0,3.5,1.5,4,No,9,6,42,0,0,1,1,2,No
EMP00009,56,Other,Master,Engineering,Role_8,115248,0,0,3.7,1.8,3,No,13,4,39,0,0,0,4,2,No
EMP00010,38,Male,Bachelor,HR,Role_3,67594,1,0,3.3,3.5,4,No,9,3,50,0,1,0,3,4,No
EMP00011,38,Male,Master,Engineering,Role_8,120335,0,0,2.9,3.8,3,No,3,2,75,0,0,0,3,1,No
EMP00012,61,Other,Bachelor,Sales,Role_42,109947,1,1,2.4,1.1,4,Yes,34,5,48,0,1,0,1,4,Yes
EMP00013,43,Male,Bachelor,Sales,Role_22,93766,2,0,3.8,2.9,2,No,11,4,35,0,0,0,4,4,No
EMP00014,28,Female,Bachelor,R&D,Role_5,76072,3,3,3.3,2.7,4,No,4,1,42,1,3,1,3,2,No
EMP00015,42,Female,Master,Engineering,Role_45,128748,11,8,3.9,3.6,2,No,19,2,27,0,1,3,3,3,No
EMP00016,56,Male,Master,HR,Role_12,89708,7,7,4.4,3.6,4,No,14,5,35,1,6,1,3,3,No
EMP00017,49,Female,Bachelor,Finance,Role_38,105180,7,0,4.5,3.2,2,No,6,3,22,1,3,2,1,1,No
EMP00018,49,Female,PhD,Engineering,Role_8,139728,2,0,3.4,3.1,3,No,3,3,77,0,2,0,2,4,No
EMP00019,40,Male,High School,Marketing,Role_8,68249,0,0,3.2,2.7,3,No,12,4,28,0,0,0,3,2,No
EMP00020,33,Female,Bachelor,Finance,Role_32,89019,5,5,3.4,4.0,3,No,21,1,69,1,0,2,3,1,No
EMP00021,41,Female,Master,Marketing,Role_3,92015,7,2,4.5,2.9,2,No,10,4,8,2,4,1,2,1,No
EMP00022,44,Male,Master,Marketing,Role_17,104281,4,2,4.2,3.3,3,No,1,6,44,0,1,3,3,3,No
EMP00023,24,Male,High School,Engineering,Role_6,62424,2,0,3.5,4.7,2,No,6,6,23,0,0,1,3,1,No
EMP00024,43,Male,High School,Operations,Role_3,57234,2,2,3.8,3.3,4,No,26,4,24,0,0,1,3,2,No
EMP00025,30,Female,High School,Engineering,Role_34,76515,0,0,2.4,1.6,3,No,5,7,44,0,0,0,2,3,No
EMP00026,49,Female,High School,Operations,Role_15,61878,11,2,3.3,3.1,3,No,2,5,23,2,6,2,2,4,No
EMP00027,56,Female,Master,Operations,Role_17,100593,0,0,3.6,5.0,2,No,2,3,7,0,0,0,4,4,No
EMP00028,44,Female,PhD,Sales,Role_26,100077,0,0,3.5,3.7,4,Yes,16,2,71,0,0,1,3,4,No
EMP00029,40,Female,Bachelor,R&D,Role_30,91824,1,1,3.7,3.0,3,No,10,4,56,0,0,0,4,1,No
EMP00030,53,Female,Master,Engineering,Role_26,109704,3,0,3.7,2.4,3,No,8,3,0,0,0,3,3,3,No
EMP00031,44,Female,Bachelor,Finance,Role_31,81968,0,0,3.3,4.0,3,Yes,26,1,21,0,0,3,3,2,No
EMP00032,38,Male,Bachelor,Finance,Role_25,83040,6,2,4.0,3.8,3,Yes,6,6,27,2,1,1,1,3,No
EMP00033,35,Female,High School,Finance,Role_28,62359,1,1,2.6,2.3,3,No,5,5,7,0,0,0,4,2,No
EMP00034,38,Male,Master,R&D,Role_33,93944,6,2,4.0,3.2,2,Yes,12,1,40,2,3,3,4,2,No
EMP00035,22,Male,High School,Sales,Role_30,45271,0,0,2.7,1.3,4,No,5,3,75,0,0,2,2,3,No
EMP00036,37,Male,Bachelor,Sales,Role_36,66911,1,1,3.5,5.0,3,Yes,19,4,53,0,1,1,4,2,No
EMP00037,33,Male,Bachelor,Marketing,Role_36,73270,4,4,3.1,2.2,4,No,5,2,50,0,3,1,4,4,No
EMP00038,43,Female,Bachelor,Legal,Role_43,98593,6,2,3.5,3.8,2,No,10,3,9,1,0,0,4,1,No
EMP00039,34,Female,Master,Engineering,Role_47,93363,12,0,3.4,2.0,3,No,14,6,35,2,1,0,2,4,No
EMP00040,36,Male,Bachelor,Finance,Role_23,83588,9,0,3.4,2.8,4,Yes,10,2,57,0,1,2,3,3,No
EMP00041,40,Female,Bachelor,R&D,Role_44,90702,18,12,4.1,3.9,2,Yes,1,1,36,1,1,2,2,2,No
EMP00042,24,Female,Bachelor,Operations,Role_45,62219,1,0,2.9,2.8,2,No,16,8,22,0,0,0,4,4,No
EMP00043,43,Male,Bachelor,Engineering,Role_41,111185,21,1,4.3,2.9,4,No,2,4,16,0,1,0,4,1,No
EMP00044,43,Female,Master,Sales,Role_40,93927,2,2,3.4,4.1,3,Yes,3,4,20,0,2,2,3,4,No
EMP00045,42,Male,Master,Engineering,Role_39,127692,0,0,3.8,2.4,4,No,7,1,51,0,0,0,3,4,No
EMP00046,24,Female,Master,Legal,Role_1,91471,0,0,3.8,4.4,3,Yes,15,4,35,0,0,3,3,3,No
EMP00047,49,Male,Bachelor,Finance,Role_14,82853,1,0,4.2,4.7,3,No,4,5,38,0,1,3,1,4,No
EMP00048,22,Female,Bachelor,Operations,Role_3,54220,0,0,3.0,3.1,3,No,7,8,35,0,0,1,2,3,Yes
EMP00049,32,Male,Master,Finance,Role_17,88230,7,0,3.4,2.8,1,Yes,5,6,2,1,1,0,3,4,No
EMP00050,48,Female,High School,Finance,Role_6,71073,2,2,3.2,3.3,3,No,3,1,18,0,2,3,3,4,No
EMP00051,34,Female,Master,Legal,Role_19,94013,8,8,4.8,5.0,3,No,1,1,26,0,0,2,3,3,No
EMP00052,55,Female,Bachelor,Legal,Role_32,99461,3,2,3.6,2.9,2,No,3,7,24,0,1,1,3,4,No
EMP00053,29,Male,Bachelor,Sales,Role_39,73864,6,1,2.7,3.6,4,Yes,3,4,26,1,0,3,2,3,No
EMP00054,49,Male,High School,Finance,Role_43,75825,1,1,2.8,2.9,3,No,12,4,59,0,1,2,3,4,No
EMP00055,35,Female,Bachelor,Sales,Role_34,67705,1,1,3.2,3.4,2,Yes,1,3,30,0,1,0,3,2,No
EMP00056,38,Female,Bachelor,Finance,Role_33,75663,5,2,3.5,4.3,2,No,19,6,36,1,0,0,3,3,No
EMP00057,34,Male,Bachelor,Marketing,Role_7,80209,2,2,3.4,4.4,4,No,16,4,15,0,1,1,3,1,No
EMP00058,26,Female,Master,Sales,Role_45,80726,2,2,3.6,3.2,3,Yes,5,6,62,0,2,1,3,2,No
EMP00059,24,Female,Bachelor,HR,Role_10,53369,1,1,3.3,4.0,3,No,10,3,27,0,0,2,2,4,No
EMP00060,29,Female,Master,HR,Role_24,62802,5,5,3.5,3.3,4,No,3,5,50,1,0,1,3,3,No
EMP00061,43,Female,Master,R&D,Role_18,110914,0,0,3.1,2.2,2,No,3,2,25,0,0,3,2,2,Yes
EMP00062,43,Male,Bachelor,Operations,Role_8,70453,5,3,4.2,1.5,3,No,10,3,71,1,0,1,4,3,No
EMP00063,54,Other,Bachelor,Legal,Role_3,99638,0,0,3.5,3.2,4,Yes,6,2,47,0,0,0,4,4,No
EMP00064,50,Male,Bachelor,Operations,Role_9,75467,7,2,3.5,3.4,3,Yes,1,2,60,1,5,2,2,4,No
EMP00065,54,Female,Bachelor,HR,Role_18,90752,0,0,4.2,2.6,4,No,17,3,63,0,0,0,3,2,Yes
EMP00066,40,Female,Master,Finance,Role_23,98407,0,0,3.4,3.3,4,No,4,3,50,0,0,1,1,4,No
EMP00067,39,Female,PhD,Marketing,Role_38,91408,0,0,3.4,2.5,2,No,10,3,57,0,0,1,2,3,Yes
EMP00068,50,Male,Master,Operations,Role_17,106396,1,0,3.3,2.9,4,No,12,5,19,0,1,0,3,2,Yes
EMP00069,49,Male,Bachelor,Engineering,Role_40,108366,9,1,3.0,3.7,2,Yes,11,3,37,3,1,0,3,2,No
EMP00070,38,Male,Master,Finance,Role_10,86623,6,0,4.4,4.3,2,Yes,8,8,51,0,6,0,4,3,No
EMP00071,25,Male,High School,Operations,Role_10,45853,0,0,2.9,3.0,4,No,2,4,51,0,0,1,3,3,No
